,SEASON,PLAYER_ID,FIRST_NAME,LAST_NAME,PLAYER_NAME,POSITION,HEIGHT_WO_SHOES,HEIGHT_WO_SHOES_FT_IN,HEIGHT_W_SHOES,HEIGHT_W_SHOES_FT_IN,WEIGHT,WINGSPAN,WINGSPAN_FT_IN,STANDING_REACH,STANDING_REACH_FT_IN,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,MODIFIED_LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,BENCH_PRESS,NORMALIZED_PLAYER_NAME
0,2002,2403,Nene,,Nene ,PF,81.25,6' 9.25'',,,253.0,88.5,7' 4.5'',109.0,9' 1'',,,,30.0,34.0,10.73,,3.19,16.0,nene-
1,2007,12204,Mohamed,Abukar,Mohamed Abukar,SF,80.0,6' 8'',81.75,6' 9.75'',210.0,81.0,6' 9'',103.0,8' 7'',8.9,,,30.5,35.0,11.78,,3.37,15.0,mohamed-abukar
2,2020,1630173,Precious,Achiuwa,Precious Achiuwa,PF,79.5,6'7.50'',80.7,6'8.75'',234.0,84.75,7'0.75'',108.5,9'0.50'',6.7,9.0,10.0,,,,,,,precious-achiuwa
3,2005,101165,Alex,Acker,Alex Acker,SG,75.75,6' 3.75'',76.75,6' 4.75'',183.0,84.0,7' 0'',102.5,8' 6.5'',,,,28.0,32.0,11.67,,3.35,11.0,alex-acker
4,2012,203112,Quincy,Acy,Quincy Acy,PF,78.5,6' 6.5'',79.75,6' 7.75'',223.8,86.75,7' 2.75'',106.5,8' 10.5'',7.1,9.5,11.0,32.0,37.0,10.48,,3.28,13.0,quincy-acy
5,2013,203500,Steven,Adams,Steven Adams,C,82.75,6' 10.75'',84.0,7' 0'',254.5,88.5,7' 4.5'',109.5,9' 1.5'',6.65,9.5,11.0,28.5,33.0,11.85,3.02,3.4,16.0,steven-adams
6,2014,203919,Jordan,Adams,Jordan Adams,SG,75.5,6' 3.5'',76.75,6' 4.75'',208.8,82.0,6' 10'',102.0,8' 6'',10.8,8.5,7.5,24.5,29.5,12.13,3.05,3.5,,jordan-adams
7,2017,1628389,Edrice,Adebayo,Edrice Adebayo,PF-C,80.75,6' 8.75'',75.75,6' 9.75'',242.6,86.75,7' 2.75'',108.0,9' 0'',5.2,9.5,8.75,33.5,38.5,11.94,3.24,3.24,12.0,edrice-adebayo
8,2006,12123,Kenny,Adeleke,Kenny Adeleke,PF-C,78.5,6' 6.5'',79.75,6' 7.75'',250.0,82.25,6' 10.25'',104.0,8' 8'',10.5,,,28.5,30.5,11.57,,3.47,26.0,kenny-adeleke
9,2009,202399,Jeff,Adrien,Jeff Adrien,PF,77.25,6' 5.25'',78.5,6' 6.5'',236.2,86.0,7' 2'',107.5,8' 11.5'',7.9,,,27.5,31.5,11.34,,3.32,16.0,jeff-adrien
