season,name,pid,team,g,min,height,weight,dunks,poss,stl,blk,orb,drb
2021,evan-mobley,4432158,USC,19,642,83,210,3.19,1097,1.46,9.37,11.34,20.05
2021,greg-brown,4432161,Texas,15,328,80,205,1.57,572,1.57,5.96,8.86,31.59
2021,brandon-boston-jr,4432162,Kentucky,18,555,78,185,0.72,968,2.17,0.55,6.74,13.55
2021,jaden-springer,4432164,Tennessee,16,373,75,204,0.15,646,2.94,2.57,4.97,13.38
2021,jalen-suggs,4432165,Gonzaga,17,460,75,205,0.8,874,4.23,1.29,3.25,20.3
2021,cade-cunningham,4432166,Oklahoma State,16,543,79,220,0.6,998,2.2,3.1,3.37,17.59
2021,josh-christopher,4432168,Arizona State,15,446,76,215,1.1,819,2.69,2.04,2.64,18.07
2021,isaiah-jackson,4432170,Kentucky,18,359,81,206,2.23,626,2.07,14.28,12.44,25.78
2021,moses-moody,4432171,Arkansas,19,605,77,205,0.7,1141,1.66,1.57,7.66,12.24
2021,sharife-cooper,4432173,Auburn,10,329,72,180,0.16,639,1.72,0.54,1.87,11.95
2021,cameron-thomas,4432174,LSU,18,579,75,210,0.29,1051,1.62,0.41,1.9,8.05
2021,dayron-sharpe,4432194,North Carolina,17,340,82,265,1.94,617,2.43,4.2,18.87,27.42
2021,justin-powell,4432250,Auburn,8,225,77,205,0,394,1.77,0,4.9,21.58
2021,scottie-barnes,4433134,Florida State,12,286,80,227,1.39,502,3.18,1.7,6.93,13.28
2021,ziaire-williams,4433137,Stanford,12,367,79,185,1.06,661,2.12,2.69,3.01,17.92
2021,marcus-bagley,4433147,Arizona State,11,330,79,215,0.66,606,1.48,1.74,6.25,20.19
2021,bennedict-mathurin,4683634,Arizona,16,402,78,195,1.59,690,1.88,0.28,6.74,17.68
2021,efe-abogidi,4702463,Washington State,19,476,81,225,2.05,830,1.93,6.22,11.59,25.32
